Date,AQI,CO,Ozone,SO2,PM10,PM25,NO2
1/1/99,60,23,54,9,24,.,60
1/2/99,51,24,46,10,29,.,51
1/3/99,71,14,54,4,13,71,57
1/4/99,72,32,44,11,19,72,60
1/5/99,89,43,42,14,20,88,89
1/6/99,105,44,43,17,76,105,98
1/7/99,152,50,44,19,57,152,101
1/8/99,86,27,58,9,29,86,66
1/9/99,111,20,46,10,16,111,62
1/10/99,72,25,38,14,14,72,51
1/11/99,85,34,36,10,27,85,68
1/12/99,151,39,48,11,70,151,80
1/13/99,163,41,47,16,36,163,103
1/14/99,69,35,45,20,19,69,67
1/15/99,100,32,44,16,22,100,80
1/16/99,152,40,41,13,14,152,62
1/17/99,158,27,46,6,9,158,63
1/18/99,173,42,48,13,82,173,88
1/19/99,151,24,35,6,10,151,58
1/20/99,79,25,38,3,58,79,48
1/21/99,153,25,48,3,.,153,47
1/22/99,82,35,41,7,18,82,52
1/23/99,98,39,42,11,18,98,77
1/24/99,114,27,46,9,40,114,60
1/25/99,57,16,44,3,6,57,41
1/26/99,47,14,44,4,8,45,47
1/27/99,59,18,45,6,6,59,41
1/28/99,52,11,48,7,8,28,52
1/29/99,74,28,44,10,13,74,63
1/30/99,91,33,47,7,55,91,76
1/31/99,77,23,50,20,11,77,51
2/1/99,66,31,43,23,6,66,48
2/2/99,65,22,44,23,8,65,58
2/3/99,106,38,44,26,19,106,102
2/4/99,103,36,44,49,21,103,78
2/5/99,82,33,42,23,61,82,78
2/6/99,78,33,44,23,13,78,78
2/7/99,95,33,48,23,8,95,78
2/8/99,97,33,40,23,12,97,78
2/9/99,61,24,43,23,61,.,40
2/10/99,43,15,43,23,11,5,40
2/11/99,58,14,43,6,51,58,46
2/12/99,49,20,47,16,12,.,49
2/13/99,80,20,49,17,14,80,77
2/14/99,116,31,67,13,19,116,57
2/15/99,102,31,48,6,11,102,58
2/16/99,120,31,49,9,12,120,65
2/17/99,156,25,51,16,68,156,79
2/18/99,161,28,51,13,23,161,89
2/19/99,155,24,47,6,10,155,65
2/20/99,102,28,50,14,10,102,81
2/21/99,92,31,54,9,28,92,53
2/22/99,77,19,47,9,20,18,77
2/23/99,79,26,46,14,60,79,74
2/24/99,85,35,54,16,29,81,85
2/25/99,93,31,48,10,35,93,68
2/26/99,79,18,54,7,19,79,68
2/27/99,123,30,84,14,23,123,79
2/28/99,157,32,147,23,14,157,102
3/1/99,161,38,161,21,83,161,89
3/2/99,153,33,80,10,16,153,103
3/3/99,84,28,71,14,28,32,84
3/4/99,66,14,54,4,12,66,40
3/5/99,60,16,58,7,18,.,60
3/6/99,77,16,77,7,24,55,57
3/7/99,65,11,61,9,47,65,38
3/8/99,71,17,71,10,29,.,53
3/9/99,64,11,64,7,58,.,43
3/10/99,94,18,87,4,13,67,94
3/11/99,54,16,54,3,13,.,52
3/12/99,67,22,61,14,11,.,67
3/13/99,133,28,133,14,57,106,74
3/14/99,105,25,105,10,17,.,67
3/15/99,71,13,71,7,12,.,60
3/16/99,82,19,61,14,8,82,52
3/17/99,80,23,80,9,15,45,58
3/18/99,80,24,80,17,21,.,61
3/19/99,87,25,71,13,77,87,79
3/20/99,61,16,61,11,26,16,44
3/21/99,74,20,74,11,6,.,42
3/22/99,100,22,100,14,16,89,50
3/23/99,87,15,87,11,11,.,47
3/24/99,108,15,108,14,17,.,55
3/25/99,69,15,67,13,46,69,55
3/26/99,58,17,58,10,9,.,56
3/27/99,97,16,97,3,13,56,45
3/28/99,136,17,136,4,21,116,73
3/29/99,136,27,136,9,19,.,78
3/30/99,115,18,115,7,44,.,61
3/31/99,62,9,49,6,62,52,34
4/1/99,49,14,49,4,6,.,47
4/2/99,51,19,51,6,9,.,45
4/3/99,64,10,64,10,25,60,40
4/4/99,64,9,64,4,10,.,43
4/5/99,80,19,80,9,20,.,40
4/6/99,56,17,51,10,36,56,40
4/7/99,47,14,47,4,6,23,36
4/8/99,67,9,67,3,18,.,35
4/9/99,68,15,51,4,7,68,44
4/10/99,67,19,67,4,10,39,51
4/11/99,87,14,87,3,12,.,48
4/12/99,58,18,58,3,17,22,46
4/13/99,80,16,80,4,9,.,61
4/14/99,101,27,77,6,7,14,101
4/15/99,100,19,100,7,14,54,78
4/16/99,104,27,84,6,18,.,104
4/17/99,129,24,129,7,18,34,70
4/18/99,203,23,203,7,64,112,103
4/19/99,166,24,166,9,19,.,80
4/20/99,177,25,177,7,18,.,71
4/21/99,97,14,90,3,36,97,39
4/22/99,97,14,97,3,29,.,39
4/23/99,67,13,67,4,10,.,41
4/24/99,71,15,64,4,54,71,39
4/25/99,100,10,100,7,14,.,40
4/26/99,115,15,115,7,.,.,78
4/27/99,122,20,97,7,.,122,55
4/28/99,87,10,87,6,18,51,37
4/29/99,49,13,49,9,6,.,31
4/30/99,66,16,54,7,48,66,45
5/1/99,122,19,122,10,11,52,41
5/2/99,108,13,108,9,33,.,39
5/3/99,77,15,77,4,38,66,32
5/4/99,97,13,97,6,14,.,44
5/5/99,115,19,115,7,25,49,72
5/6/99,179,25,179,10,72,114,78
5/7/99,169,23,169,7,24,.,82
5/8/99,147,16,147,6,33,81,48
5/9/99,101,9,101,4,24,72,27
5/10/99,126,13,126,3,21,.,47
5/11/99,143,16,143,7,21,.,68
5/12/99,164,16,164,4,115,140,77
5/13/99,159,15,159,4,53,.,42
5/14/99,147,13,147,6,31,.,41
5/15/99,154,11,154,3,23,78,45
5/16/99,147,11,147,6,18,.,52
5/17/99,166,20,166,6,18,.,68
5/18/99,190,18,190,6,86,92,89
5/19/99,129,16,129,4,19,60,52
5/20/99,119,16,119,4,28,.,48
5/21/99,115,17,115,4,24,91,43
5/22/99,87,15,87,4,24,56,42
5/23/99,133,17,133,6,23,.,65
5/24/99,118,27,115,6,87,118,82
5/25/99,169,23,169,9,16,.,70
5/26/99,169,14,169,6,31,49,64
5/27/99,185,15,185,7,36,148,76
5/28/99,197,15,197,6,26,.,89
5/29/99,151,10,151,6,29,55,35
5/30/99,112,8,112,6,44,70,43
5/31/99,133,9,133,7,17,.,45
6/1/99,100,20,100,9,37,.,55
6/2/99,59,10,48,6,57,59,42
6/3/99,54,8,54,6,11,.,29
6/4/99,54,16,54,7,13,.,41
6/5/99,115,15,115,7,51,84,45
6/6/99,197,13,197,7,22,.,46
6/7/99,147,14,147,10,19,.,49
6/8/99,154,15,154,10,16,96,50
6/9/99,154,10,154,7,19,68,44
6/10/99,154,14,154,6,17,.,46
6/11/99,182,15,182,4,66,122,62
6/12/99,233,15,233,10,20,47,65
6/13/99,228,14,228,10,18,.,64
6/14/99,204,23,204,7,28,120,102
6/15/99,206,22,206,11,.,.,102
6/16/99,192,16,192,9,.,52,66
6/17/99,174,15,174,7,75,155,70
6/18/99,169,18,169,10,.,.,87
6/19/99,213,15,213,10,.,32,79
6/20/99,237,13,237,11,.,119,65
6/21/99,177,13,177,7,.,.,85
6/22/99,206,16,206,9,.,.,68
6/23/99,177,17,177,7,61,85,81
6/24/99,190,19,190,7,44,.,82
6/25/99,182,16,182,9,25,.,77
6/26/99,206,13,206,7,19,77,54
6/27/99,218,10,218,10,33,.,60
6/28/99,213,17,213,6,26,.,79
6/29/99,229,19,229,9,64,86,84
6/30/99,239,16,239,6,29,37,87
7/1/99,218,15,218,4,34,.,111
7/2/99,151,13,151,4,31,88,95
7/3/99,154,10,154,4,42,36,38
7/4/99,179,10,179,4,22,.,44
7/5/99,185,14,185,4,71,127,47
7/6/99,133,20,133,6,27,.,84
7/7/99,151,16,151,6,33,53,79
7/8/99,93,15,80,6,22,93,87
7/9/99,169,26,169,7,26,.,89
7/10/99,221,13,221,9,5,33,49
7/11/99,212,13,212,7,67,70,113
7/12/99,172,18,172,7,7,.,65
7/13/99,208,20,208,13,10,.,70
7/14/99,202,13,202,9,46,67,68
7/15/99,140,11,140,11,24,.,57
7/16/99,140,15,140,19,16,.,68
7/17/99,166,20,166,14,54,63,57
7/18/99,169,13,169,11,16,.,50
7/19/99,90,16,90,6,15,.,57
7/20/99,77,17,77,14,20,56,68
7/21/99,119,18,119,20,18,24,79
7/22/99,150,20,150,14,19,.,112
7/23/99,143,22,143,20,64,57,140
7/24/99,151,18,151,20,27,18,68
7/25/99,214,13,214,4,13,.,53
7/26/99,215,14,215,7,17,89,76
7/27/99,213,14,213,9,23,.,103
7/28/99,182,13,182,9,20,.,65
7/29/99,208,18,208,14,68,86,100
7/30/99,224,22,224,6,20,.,99
7/31/99,205,17,205,9,42,.,74
8/1/99,197,11,197,6,19,73,68
8/2/99,177,22,177,4,17,.,100
8/3/99,172,20,172,9,20,.,103
8/4/99,154,18,154,6,72,87,97
8/5/99,140,13,140,7,25,.,71
8/6/99,90,9,90,10,27,.,42
8/7/99,101,8,101,6,31,87,62
8/8/99,100,8,100,6,10,.,79
8/9/99,64,15,64,6,17,.,52
8/10/99,83,10,64,1,83,67,42
8/11/99,122,10,122,4,18,25,51
8/12/99,177,20,177,6,20,.,65
8/13/99,205,19,205,3,.,88,85
8/14/99,201,16,201,6,.,42,69
8/15/99,192,10,192,6,.,.,56
8/16/99,122,23,122,7,69,88,67
8/17/99,126,16,126,9,.,.,79
8/18/99,122,16,122,6,26,26,95
8/19/99,190,20,190,4,42,67,95
8/20/99,151,16,151,7,26,.,103
8/21/99,205,17,205,7,27,25,98
8/22/99,206,14,206,3,68,115,71
8/23/99,101,22,101,9,20,.,80
8/24/99,140,25,140,9,23,.,85
8/25/99,156,22,156,7,16,62,77
8/26/99,195,19,195,9,19,.,103
8/27/99,174,20,174,7,12,.,105
8/28/99,221,16,221,6,78,91,94
8/29/99,192,18,192,7,18,.,77
8/30/99,115,17,115,4,41,.,83
8/31/99,126,17,126,7,28,71,89
9/1/99,122,9,122,7,31,38,85
9/2/99,101,18,101,4,25,.,44
9/3/99,129,9,129,4,57,80,45
9/4/99,147,11,147,6,76,51,68
9/5/99,190,13,190,6,13,.,69
9/6/99,208,10,208,9,15,154,76
9/7/99,166,17,166,7,27,.,89
9/8/99,166,20,166,11,29,36,102
9/9/99,101,19,101,14,73,75,73
9/10/99,133,19,133,11,19,.,66
9/11/99,112,13,112,37,10,25,61
9/12/99,97,15,97,9,11,67,54
9/13/99,129,24,129,11,19,.,102
9/14/99,150,23,150,6,22,.,95
9/15/99,172,16,172,9,77,142,83
9/16/99,115,17,115,6,15,.,85
9/17/99,182,18,182,4,35,.,81
9/18/99,172,27,172,4,5,159,53
9/19/99,166,22,166,7,19,.,54
9/20/99,97,32,97,9,21,.,94
9/21/99,90,33,47,9,90,86,85
9/22/99,58,20,51,9,13,29,58
9/23/99,100,16,100,6,7,.,61
9/24/99,137,15,126,6,15,137,81
9/25/99,169,16,169,4,22,51,81
9/26/99,174,15,174,6,24,.,62
9/27/99,164,15,164,4,74,156,106
9/28/99,105,22,64,7,16,.,105
9/29/99,79,26,77,11,55,16,79
9/30/99,126,40,126,9,25,65,102
10/1/99,177,35,177,11,32,.,100
10/2/99,161,23,161,11,32,24,81
10/3/99,154,16,154,11,68,122,77
10/4/99,115,31,115,11,23,.,109
10/5/99,103,39,80,10,.,.,103
10/6/99,92,18,84,9,54,92,49
10/7/99,58,32,47,10,.,.,58
10/8/99,69,38,58,10,14,.,69
10/9/99,102,40,100,11,77,65,102
10/10/99,161,27,161,14,15,.,97
10/11/99,133,33,133,13,23,.,94
10/12/99,112,25,112,13,22,77,99
10/13/99,122,27,122,11,17,35,103
10/14/99,154,28,154,14,21,.,87
10/15/99,119,14,119,16,65,103,82
10/16/99,80,20,80,20,21,28,69
10/17/99,64,20,64,10,9,.,64
10/18/99,70,20,54,13,64,59,70
10/19/99,102,25,49,17,17,.,102
10/20/99,70,22,54,11,15,13,70
10/21/99,89,20,64,14,66,63,89
10/22/99,107,25,74,16,21,.,107
10/23/99,115,31,115,16,18,43,88
10/24/99,96,33,58,16,37,96,95
10/25/99,79,25,67,13,18,.,79
10/26/99,76,26,71,13,23,.,76
10/27/99,99,32,74,17,72,99,66
10/28/99,83,22,49,19,39,.,83
10/29/99,82,18,61,17,23,.,82
10/30/99,64,23,54,13,42,58,64
10/31/99,64,36,51,17,14,.,64
11/1/99,91,38,50,14,15,.,91
11/2/99,155,32,50,13,100,155,107
11/3/99,143,39,143,13,19,37,108
11/4/99,115,39,115,13,19,.,110
11/5/99,185,32,77,17,27,185,101
11/6/99,103,32,50,9,24,40,103
11/7/99,63,32,61,6,22,.,63
11/8/99,82,32,44,6,35,82,45
11/9/99,66,32,51,11,9,.,66
11/10/99,111,32,61,11,19,11,111
11/11/99,154,32,58,14,81,154,101
11/12/99,104,35,48,13,15,.,104
11/13/99,108,42,45,17,15,23,108
11/14/99,161,34,54,14,77,161,102
11/15/99,112,32,51,9,20,.,112
11/16/99,116,32,42,19,21,.,116
11/17/99,57,32,42,6,16,57,42
11/18/99,55,32,48,10,8,.,55
11/19/99,69,32,50,11,14,.,69
11/20/99,130,32,47,13,54,130,66
11/21/99,48,32,48,9,27,.,42
11/22/99,47,32,44,6,6,.,47
11/23/99,76,32,43,10,15,76,56
11/24/99,52,32,44,10,17,8,52
11/25/99,48,32,48,10,13,.,48
11/26/99,82,32,41,13,58,82,73
11/27/99,70,32,49,13,19,10,70
11/28/99,68,35,47,14,22,.,68
